S3 Table. Full list of DEGs identified in vEDS patients' skin fibroblasts.						
Column #	Transcript ID	gene_assignment	Gene Symbol	RefSeq	p-value adjusted (FDR 5%)	Fold-Change 
25940	8113800	NM_001999 // FBN2 // fibrillin 2 // 5q23-q31 // 2201 /// ENST00000262464 // FBN2 // fib	FBN2	NM_001999	0.00342225	-6.68141
19135	8045688	"NM_007115 // TNFAIP6 // tumor necrosis factor, alpha-induced protein 6 // 2q23.3 // 713"	TNFAIP6	NM_007115	0.000335479	-5.42602
6075	7915612	NM_001166292 // PTCH2 // patched 2 // 1p34.1 // 8643 /// ENST00000438067 // PTCH2 // pa	PTCH2	NM_001166292	0.000254195	-4.15302
13029	7983969	NM_004701 // CCNB2 // cyclin B2 // 15q22.2 // 9133 /// ENST00000288207 // CCNB2 // cycl	CCNB2	NM_004701	0.000971685	-3.85677
27084	8124534	"NM_003546 // HIST1H4L // histone cluster 1, H4l // 6p22.1 // 8368 /// ENST00000618305 /"	HIST1H4L	NM_003546	4.60E-06	-3.82307
24225	8097692	NM_001166055 // EDNRA // endothelin receptor type A // 4q31.22 // 1909 /// NM_001256283	EDNRA	NM_001166055	0.00157991	-3.62155
19977	8054517	NR_046110 // LINC01123 // long intergenic non-protein coding RNA 1123 // 2q13 // 440894	LINC01123	NR_046110	0.0024528	-3.60878
11038	7964834	NM_001005502 // CPM // carboxypeptidase M // 12q14.3 // 1368 /// NM_001874 // CPM // ca	CPM	NM_001005502	0.000137021	-3.60397
15960	8014974	NM_001067 // TOP2A // topoisomerase (DNA) II alpha // 17q21.2 // 7153 /// XM_005257632 	TOP2A	NM_001067	0.000900395	-3.48326
29772	8149955	NM_001278945 // PBK // PDZ binding kinase // 8p21.2 // 55872 /// NM_018492 // PBK // PD	PBK	NM_001278945	0.00127233	-3.40362
27833	8132318	NM_001284301 // ANLN // anillin actin binding protein // 7p15-p14 // 54443 /// NM_00128	ANLN	NM_001284301	0.00125763	-3.3891
7343	7928308	NM_019058 // DDIT4 // DNA damage inducible transcript 4 // 10q22.1 // 54541 /// ENST000	DDIT4	NM_019058	2.26E-05	-3.34257
25752	8112376	NM_001267038 // CENPK // centromere protein K // 5q12.3 // 64105 /// NM_022145 // CENPK	CENPK	NM_001267038	0.000570332	-3.2223
25348	8108301	NM_005733 // KIF20A // kinesin family member 20A // 5q31 // 10112 /// XR_948224 // KIF2	KIF20A	NM_005733	0.00792219	-3.1932
20627	8061579	"NM_012112 // TPX2 // TPX2, microtubule-associated // 20q11.2 // 22974 /// XM_011528697 "	TPX2	NM_012112	0.00114946	-3.17397
12490	7979307	"NM_001146015 // DLGAP5 // discs, large (Drosophila) homolog-associated protein 5 // 14q"	DLGAP5	NM_001146015	0.0112409	-3.08484
14638	8001133	NM_024745 // SHCBP1 // SHC SH2-domain binding protein 1 // 16q11.2 // 79801 /// XM_0115	SHCBP1	NM_024745	0.00135065	-3.04573
13534	7989647	NM_001029989 // KIAA0101 // KIAA0101 // 15q22.31 // 9768 /// NM_014736 // KIAA0101 // K	PCLAF	NM_001029989	0.00306261	-3.03163
13709	7991406	NM_001267580 // PRC1 // protein regulator of cytokinesis 1 // 15q26.1 // 9055 /// NM_00	PRC1	NM_001267580	0.00158038	-2.99875
24752	8102643	NM_001237 // CCNA2 // cyclin A2 // 4q27 // 890 /// ENST00000274026 // CCNA2 // cyclin A	CCNA2	NM_001237	0.000104826	-2.96498
26352	8117594	"NM_003521 // HIST1H2BM // histone cluster 1, H2bm // 6p22.1 // 8342 /// ENST00000621112"	HIST1H2BM	NM_003521	9.67E-07	-2.94276
19834	8053231	NM_001289164 // LOXL3 // lysyl oxidase-like 3 // 2p13 // 84695 /// NM_001289165 // LOXL	LOXL3	NM_001289164	0.00011596	-2.90204
19981	8054580	NM_001278616 // BUB1 // BUB1 mitotic checkpoint serine/threonine kinase // 2q14 // 699 	BUB1	NM_001278616	0.00287589	-2.88612
26747	8121502	NM_138408 // GTF3C6 // general transcription factor IIIC subunit 6 // 6q21 // 112495 //	GTF3C6	NM_138408	4.22E-05	-2.87935
24744	8102587	NM_024574 // NDNF // neuron-derived neurotrophic factor // 4q27 // 79625 /// ENST000003	NDNF	NM_024574	0.00232341	-2.8775
11570	7970513	NM_001166017 // SKA3 // spindle and kinetochore associated complex subunit 3 // 13q12.1	SKA3	NM_001166017	0.00123109	-2.85884
11631	7971077	"NM_001135934 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// "	POSTN	NM_001135934	0.00288956	-2.84791
11234	7967028	"NR_003137 // RNU4-2 // RNA, U4 small nuclear 2 // 12q24.31 // 26834 /// ENST00000365668"	RNU4-2	NR_003137	0.000563147	-2.80018
4787	7902553	NM_006417 // IFI44 // interferon-induced protein 44 // 1p31.1 // 10561 /// XM_005270380	IFI44	NM_006417	0.000218721	-2.79705
31775	8168749	"NM_014467 // SRPX2 // sushi-repeat containing protein, X-linked 2 // Xq22.1 // 27286 //"	SRPX2	NM_014467	0.00628035	-2.7949
7292	7927710	NM_001170406 // CDK1 // cyclin-dependent kinase 1 // 10q21.1 // 983 /// NM_001170407 //	CDK1	NM_001170406	0.00181724	-2.77214
9481	7948906	"NR_002563 // SNORD27 // small nucleolar RNA, C/D box 27 // 11q13 // 9301 /// ENST000003"	SNORD27	NR_002563	5.50E-05	-2.76961
30473	8156290	NM_001827 // CKS2 // CDC28 protein kinase regulatory subunit 2 // 9q22 // 1164 /// ENST	CKS2	NM_001827	0.00500597	-2.75062
21185	8067167	NM_003600 // AURKA // aurora kinase A // 20q13 // 6790 /// NM_198433 // AURKA // aurora	AURKA	NM_003600	0.00138949	-2.7204
23862	8094278	NM_022346 // NCAPG // non-SMC condensin I complex subunit G // 4p15.33 // 64151 /// NR_	NCAPG	NM_022346	0.00121081	-2.71971
5477	7909568	NM_001286229 // DTL // denticleless E3 ubiquitin protein ligase homolog (Drosophila) //	DTL	NM_001286229	0.00484494	-2.68754
26323	8117426	"NM_003524 // HIST1H2BH // histone cluster 1, H2bh // 6p22.2 // 8345 /// ENST00000619466"	HIST1H2BH	NM_003524	6.57E-06	-2.6765
5903	7913869	NM_001145454 // STMN1 // stathmin 1 // 1p36.11 // 3925 /// NM_005563 // STMN1 // stathm	STMN1	NM_001145454	2.36E-05	-2.67567
7448	7929334	NM_001127182 // CEP55 // centrosomal protein 55kDa // 10q23.33 // 55165 /// NM_018131 /	CEP55	NM_001127182	0.00324483	-2.67525
28469	8138289	NM_001163147 // ETV1 // ets variant 1 // 7p21.3 // 2115 /// NM_001163148 // ETV1 // ets	ETV1	NM_001163147	0.00408477	-2.66182
13060	7984257	"NR_002756 // RNU5A-1 // RNA, U5A small nuclear 1 // 15q22.31 // 26831 /// ENST000003626"	RNU5A-1	NR_002756	1.07E-05	-2.6483
26322	8117422	"NM_003540 // HIST1H4F // histone cluster 1, H4f // 6p22.2 // 8361 /// ENST00000244537 /"	HIST1H4F	NM_003540	0.00149896	-2.63576
26661	8120838	NM_001166691 // TTK // TTK protein kinase // 6q14.1 // 7272 /// NM_003318 // TTK // TTK	TTK	NM_001166691	0.00838875	-2.62738
11656	7971296	NM_001002264 // EPSTI1 // epithelial stromal interaction 1 (breast) // 13q13.3 // 94240	EPSTI1	NM_001002264	0.00150225	-2.61998
4311	7897801	"ENST00000362477 // RNU5E-1 // RNA, U5E small nuclear 1 // 1p36.22 // 26829 /// NR_00275"	RNU5E-1	ENST00000362477	0.00318343	-2.61818
11657	7971311	NM_001127615 // ENOX1 // ecto-NOX disulfide-thiol exchanger 1 // 13q14.11 // 55068 /// 	ENOX1	NM_001127615	0.00250646	-2.60755
5489	7909708	NM_016343 // CENPF // centromere protein F // 1q41 // 1063 /// XM_011509082 // CENPF //	CENPF	NM_016343	0.00951151	-2.59745
9483	7948910	"NR_002565 // SNORD25 // small nucleolar RNA, C/D box 25 // 11q13 // 9303 /// ENST000003"	SNORD25	NR_002565	8.63E-05	-2.59177
5251	7906930	"NM_031423 // NUF2 // NUF2, NDC80 kinetochore complex component // 1q23.3 // 83540 /// N"	NUF2	NM_031423	0.00535025	-2.56507
13967	7994109	NM_005030 // PLK1 // polo-like kinase 1 // 16p12.2 // 5347 /// ENST00000300093 // PLK1 	PLK1	NM_005030	0.00467758	-2.56278
5320	7907657	NM_001286247 // RALGPS2 // Ral GEF with PH domain and SH3 binding motif 2 // 1q25.2 // 	RALGPS2	NM_001286247	9.12E-09	-2.55629
7423	7929012	NM_020799 // STAMBPL1 // STAM binding protein-like 1 // 10q23.31 // 57559 /// XM_006717	STAMBPL1	NM_020799	0.000605889	-2.55328
12934	7982889	NM_001243142 // NUSAP1 // nucleolar and spindle associated protein 1 // 15q15.1 // 5120	NUSAP1	NM_001243142	0.00200936	-2.5495
20124	8055702	NM_004688 // NMI // N-myc (and STAT) interactor // 2q23 // 9111 /// XM_005246941 // NMI	NMI	NM_004688	0.0021849	-2.52929
25505	8109830	NM_017785 // SPDL1 // spindle apparatus coiled-coil protein 1 // 5q35.1 // 54908 /// XM	SPDL1	NM_017785	0.0040044	-2.52621
27051	8124388	"NM_003537 // HIST1H3B // histone cluster 1, H3b // 6p22.2 // 8358 /// ENST00000621411 /"	HIST1H3B	NM_003537	0.00160388	-2.52562
23054	8085754	NM_001012409 // SGOL1 // shugoshin-like 1 (S. pombe) // 3p24.3 // 151648 /// NM_0010124	SGOL1	NM_001012409	0.00192736	-2.50597
27082	8124527	"NM_005322 // HIST1H1B // histone cluster 1, H1b // 6p22.1 // 3009 /// ENST00000331442 /"	HIST1H1B	NM_005322	0.00274796	-2.50409
18847	8043310	NM_022780 // RMND5A // required for meiotic nuclear division 5 homolog A // 2p11.2 // 6	RMND5A	NM_022780	0.000200819	-2.44333
